Country,Crop,Element,Production
Afghanistan,"almonds, in shell",production,69315.64
Afghanistan,"anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",production,17889.49
Afghanistan,apples,production,333837.85
Afghanistan,apricots,production,167698.55
Afghanistan,barley,production,100000.0
Afghanistan,"beans, dry",production,55446.01
Afghanistan,cantaloupes and other melons,production,701220.44
Afghanistan,"cattle fat, unrendered",production,1506.54
Afghanistan,"edible offal of cattle, fresh, chilled or frozen",production,10777.57
Afghanistan,"edible offal of goat, fresh, chilled or frozen",production,9222.94
Afghanistan,"edible offal of sheep, fresh, chilled or frozen",production,17303.15
Afghanistan,"edible offals of camels and other camelids, fresh, chilled or frozen",production,547.38
Afghanistan,fat of camels,production,255.44
Afghanistan,figs,production,59915.72
Afghanistan,"game meat, fresh, chilled or frozen",production,8011.9
Afghanistan,"goat fat, unrendered",production,1747.5
Afghanistan,grapes,production,1141406.97
Afghanistan,"hen eggs in shell, fresh",production,21967.71
Afghanistan,"hen eggs in shell, fresh",production,439354.0
Afghanistan,linseed,production,27818.64
Afghanistan,maize (corn),production,260000.0
Afghanistan,"meat of camels, fresh or chilled",production,3649.17
Afghanistan,"meat of cattle with the bone, fresh or chilled",production,61420.58
Afghanistan,"meat of chickens, fresh or chilled",production,28688.92
Afghanistan,"meat of goat, fresh or chilled",production,47570.93
Afghanistan,"meat of sheep, fresh or chilled",production,84750.13
Afghanistan,millet,production,1646.07
Afghanistan,mustard seed,production,1116.65
Afghanistan,natural honey,production,1467.09
Afghanistan,olives,production,7912.03
Afghanistan,"onions and shallots, dry (excluding dehydrated)",production,614770.81
Afghanistan,oranges,production,7166.1
Afghanistan,other berries and fruits of the genus vaccinium n.e.c.,production,32975.81
Afghanistan,"other citrus fruit, n.e.c.",production,16952.12
Afghanistan,"other fruits, n.e.c.",production,61085.41
Afghanistan,"other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",production,3716.4
Afghanistan,other pulses n.e.c.,production,44919.65
Afghanistan,"other stimulant, spice and aromatic crops, n.e.c.",production,17.19
Afghanistan,other stone fruits,production,50341.84
Afghanistan,"other vegetables, fresh n.e.c.",production,723238.43
Afghanistan,peaches and nectarines,production,85571.17
Afghanistan,pears,production,24294.52
Afghanistan,"peas, dry",production,38167.2
Afghanistan,"pistachios, in shell",production,2825.38
Afghanistan,plums and sloes,production,48495.37
Afghanistan,potatoes,production,908218.12
Afghanistan,raw hides and skins of cattle,production,10082.25
Afghanistan,raw hides and skins of goats or kids,production,7184.18
Afghanistan,raw hides and skins of sheep or lambs,production,13418.77
Afghanistan,raw milk of camel,production,6816.62
Afghanistan,raw milk of cattle,production,1928135.81
Afghanistan,raw milk of goats,production,120031.31
Afghanistan,raw milk of sheep,production,194000.0
Afghanistan,rice,production,654000.0
Afghanistan,"seed cotton, unginned",production,120508.05
Afghanistan,sesame seed,production,28799.25
Afghanistan,"sheep fat, unrendered",production,4767.2
Afghanistan,"shorn wool, greasy, including fleece-washed shorn wool",production,12909.88
Afghanistan,silk-worm cocoons suitable for reeling,production,500.0
Afghanistan,soya beans,production,7304.9
Afghanistan,sugar beet,production,6440.82
Afghanistan,sugar cane,production,53326.43
Afghanistan,sunflower seed,production,1130.65
Afghanistan,"walnuts, in shell",production,27524.43
Afghanistan,watermelons,production,1180436.59
Afghanistan,wheat,production,5200000.0
Albania,apples,production,100455.03
Albania,apricots,production,5938.73
Albania,barley,production,23791.8
