Country,Crop,Production
Afghanistan,"almonds, in shell",69316
Afghanistan,"anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",17889
Afghanistan,apples,333838
Afghanistan,apricots,167699
Afghanistan,barley,100000
Afghanistan,"beans, dry",55446
Afghanistan,cantaloupes and other melons,701220
Afghanistan,"cattle fat, unrendered",1507
Afghanistan,"edible offal of cattle, fresh, chilled or frozen",10778
Afghanistan,"edible offal of goat, fresh, chilled or frozen",9223
Afghanistan,"edible offal of sheep, fresh, chilled or frozen",17303
Afghanistan,"edible offals of camels and other camelids, fresh, chilled or frozen",547
Afghanistan,fat of camels,255
Afghanistan,figs,59916
Afghanistan,"game meat, fresh, chilled or frozen",8012
Afghanistan,"goat fat, unrendered",1748
Afghanistan,grapes,1141407
Afghanistan,"hen eggs in shell, fresh",461322
Afghanistan,linseed,27819
Afghanistan,maize (corn),260000
Afghanistan,"meat of camels, fresh or chilled",3649
Afghanistan,"meat of cattle with the bone, fresh or chilled",61421
Afghanistan,"meat of chickens, fresh or chilled",28689
Afghanistan,"meat of goat, fresh or chilled",47571
Afghanistan,"meat of sheep, fresh or chilled",84750
Afghanistan,millet,1646
Afghanistan,mustard seed,1117
Afghanistan,natural honey,1467
Afghanistan,olives,7912
Afghanistan,"onions and shallots, dry (excluding dehydrated)",614771
Afghanistan,oranges,7166
Afghanistan,other berries and fruits of the genus vaccinium n.e.c.,32976
Afghanistan,"other citrus fruit, n.e.c.",16952
Afghanistan,"other fruits, n.e.c.",61085
Afghanistan,"other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",3716
Afghanistan,other pulses n.e.c.,44920
Afghanistan,"other stimulant, spice and aromatic crops, n.e.c.",17
Afghanistan,other stone fruits,50342
Afghanistan,"other vegetables, fresh n.e.c.",723238
Afghanistan,peaches and nectarines,85571
Afghanistan,pears,24295
Afghanistan,"peas, dry",38167
Afghanistan,"pistachios, in shell",2825
Afghanistan,plums and sloes,48495
Afghanistan,potatoes,908218
Afghanistan,raw hides and skins of cattle,10082
Afghanistan,raw hides and skins of goats or kids,7184
Afghanistan,raw hides and skins of sheep or lambs,13419
Afghanistan,raw milk of camel,6817
Afghanistan,raw milk of cattle,1928136
Afghanistan,raw milk of goats,120031
Afghanistan,raw milk of sheep,194000
Afghanistan,rice,654000
Afghanistan,"seed cotton, unginned",120508
Afghanistan,sesame seed,28799
Afghanistan,"sheep fat, unrendered",4767
Afghanistan,"shorn wool, greasy, including fleece-washed shorn wool",12910
Afghanistan,silk-worm cocoons suitable for reeling,500
Afghanistan,soya beans,7305
Afghanistan,sugar beet,6441
Afghanistan,sugar cane,53326
Afghanistan,sunflower seed,1131
Afghanistan,"walnuts, in shell",27524
Afghanistan,watermelons,1180437
Afghanistan,wheat,5200000
Albania,apples,100455
Albania,apricots,5939
Albania,barley,23792
Albania,"beans, dry",24369
Albania,"broad beans and horse beans, dry",208
Albania,"broad beans and horse beans, green",129
Albania,cabbages,68719
Albania,cantaloupes and other melons,68727
Albania,carrots and turnips,18622
Albania,"cattle fat, unrendered",1128
Albania,cauliflowers and broccoli,8444
Albania,cherries,22465
Albania,"chestnuts, in shell",5726
Albania,"chillies and peppers, green (capsicum spp. and pimenta spp.)",115750
Albania,cucumbers and gherkins,132427
Albania,dates,15280
Albania,"edible offal of cattle, fresh, chilled or frozen",3237
Albania,"edible offal of goat, fresh, chilled or frozen",2252
Albania,"edible offal of pigs, fresh, chilled or frozen",398
Albania,"edible offal of sheep, fresh, chilled or frozen",4636
Albania,eggplants (aubergines),36857
Albania,"eggs from other birds in shell, fresh, n.e.c.",3320
Albania,fat of pigs,398
Albania,figs,22591
Albania,"goat fat, unrendered",263
Albania,grapes,183423
Albania,green garlic,18078
Albania,"hen eggs in shell, fresh",935202
Albania,hop cones,1854
Albania,leeks and other alliaceous vegetables,47387
Albania,lemons and limes,6404
Albania,lettuce and chicory,23444
Albania,maize (corn),410438
Albania,"meat of cattle with the bone, fresh or chilled",25996
Albania,"meat of chickens, fresh or chilled",11411
Albania,"meat of goat, fresh or chilled",7130
Albania,"meat of pig with the bone, fresh or chilled",5965
Albania,"meat of sheep, fresh or chilled",14834
Albania,"meat of turkeys, fresh or chilled",1163
Albania,mushrooms and truffles,100
Albania,natural honey,5940
Albania,oats,31950
Albania,okra,8124
Albania,olives,146726
Albania,"onions and shallots, dry (excluding dehydrated)",114336
Albania,"onions and shallots, green",49981
Albania,oranges,15369
Albania,"other beans, green",12678
Albania,"other citrus fruit, n.e.c.",12
Albania,"other fruits, n.e.c.",4217
Albania,"other meat of mammals, fresh or chilled",170
Albania,"other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",12516
Albania,other pulses n.e.c.,722
Albania,"other stimulant, spice and aromatic crops, n.e.c.",364
Albania,"other vegetables, fresh n.e.c.",35922
Albania,peaches and nectarines,25152
Albania,pears,15540
Albania,"peas, green",6921
Albania,plums and sloes,40196
Albania,potatoes,277824
Albania,"pumpkins, squash and gourds",32489
Albania,quinces,5155
Albania,raw hides and skins of cattle,5395
Albania,raw hides and skins of goats or kids,1689
Albania,raw hides and skins of sheep or lambs,4327
Albania,raw milk of cattle,744693
Albania,raw milk of goats,67785
Albania,raw milk of sheep,64210
Albania,rice,0
Albania,rye,2928
Albania,"seed cotton, unginned",802
Albania,"sheep fat, unrendered",865
Albania,"shorn wool, greasy, including fleece-washed shorn wool",2234
Albania,sorghum,0
Albania,sour cherries,17911
Albania,soya beans,813
Albania,spinach,25515
Albania,strawberries,6506
Albania,sugar beet,17763
Albania,sunflower seed,1160
Albania,"tangerines, mandarins, clementines",37376
Albania,tomatoes,308110
Albania,unmanufactured tobacco,1861
Albania,vetches,1922
Albania,watermelons,278086
Albania,wheat,180812
Algeria,"almonds, in shell",68513
Algeria,apples,591698
Algeria,apricots,173085
Algeria,artichokes,137704
Algeria,bananas,235
Algeria,barley,1000000
Algeria,"beans, dry",2602
Algeria,"broad beans and horse beans, dry",50243
Algeria,"broad beans and horse beans, green",309289
Algeria,cabbages,156004
Algeria,carrots and turnips,428052
Algeria,"cattle fat, unrendered",2596
Algeria,cauliflowers and broccoli,282414
Algeria,cherries,12113
Algeria,"chick peas, dry",40527
Algeria,"chillies and peppers, dry (capsicum spp., pimenta spp.), raw",15112
Algeria,"chillies and peppers, green (capsicum spp. and pimenta spp.)",643418
Algeria,cucumbers and gherkins,192943
Algeria,dates,1337301
Algeria,"edible offal of cattle, fresh, chilled or frozen",20250
Algeria,"edible offal of goat, fresh, chilled or frozen",7823
Algeria,"edible offal of pigs, fresh, chilled or frozen",12
Algeria,"edible offal of sheep, fresh, chilled or frozen",46048
Algeria,"edible offals of camels and other camelids, fresh, chilled or frozen",2350
Algeria,"edible offals of horses and other equines, fresh, chilled or frozen",2
Algeria,eggplants (aubergines),219616
Algeria,fat of camels,479
Algeria,fat of pigs,23
Algeria,figs,114937
Algeria,"goat fat, unrendered",1173
Algeria,grapes,605260
Algeria,green garlic,237375
Algeria,"groundnuts, excluding shelled",15800
Algeria,"hen eggs in shell, fresh",6531000
Algeria,"horse meat, fresh or chilled",14
Algeria,lemons and limes,89366
Algeria,"lentils, dry",10055
Algeria,locust beans (carobs),3445
Algeria,maize (corn),12000
Algeria,"meat of camels, fresh or chilled",16099
Algeria,"meat of cattle with the bone, fresh or chilled",135000
Algeria,"meat of chickens, fresh or chilled",448820
Algeria,"meat of goat, fresh or chilled",39116
Algeria,"meat of pig with the bone, fresh or chilled",114
Algeria,"meat of rabbits and hares, fresh or chilled",8158
Algeria,"meat of sheep, fresh or chilled",363929
Algeria,"meat of turkeys, fresh or chilled",34971
Algeria,mushrooms and truffles,1110
Algeria,natural honey,5876
Algeria,oats,105000
Algeria,olives,913243
Algeria,"onions and shallots, dry (excluding dehydrated)",1830194
Algeria,"onions and shallots, green",358
Algeria,oranges,1294262
Algeria,"other beans, green",101476
Algeria,"other citrus fruit, n.e.c.",609
Algeria,"other fruits, n.e.c.",152121
Algeria,other pulses n.e.c.,115
Algeria,other stone fruits,30138
Algeria,"other tropical fruits, n.e.c.",0
Algeria,"other vegetables, fresh n.e.c.",1706681
Algeria,peaches and nectarines,195226
Algeria,pears,162832
Algeria,"peas, dry",11229
Algeria,"peas, green",207050
Algeria,plums and sloes,94566
Algeria,pomelos and grapefruits,1662
Algeria,potatoes,4596493
Algeria,"pumpkins, squash and gourds",476580
Algeria,quinces,10800
Algeria,rape or colza seed,23060
Algeria,raw hides and skins of cattle,16356
Algeria,raw hides and skins of goats or kids,7823
Algeria,raw hides and skins of sheep or lambs,57189
Algeria,raw milk of camel,15407
Algeria,raw milk of cattle,2420851
Algeria,raw milk of goats,320791
Algeria,raw milk of sheep,542280
Algeria,rice,313
Algeria,"seed cotton, unginned",83
Algeria,"sheep fat, unrendered",8913
Algeria,"shorn wool, greasy, including fleece-washed shorn wool",35270
Algeria,sorghum,661
Algeria,strawberries,0
Algeria,sugar beet,0
Algeria,sunflower seed,89
Algeria,"tangerines, mandarins, clementines",314985
Algeria,tomatoes,1762920
Algeria,triticale,326
Algeria,unmanufactured tobacco,11182
Algeria,vetches,75
Algeria,watermelons,2520724
Algeria,wheat,3000000
Angola,avocados,61391
Angola,bananas,5213106
Angola,"beans, dry",371160
Angola,beeswax,2321
Angola,cabbages,295974
Angola,carrots and turnips,165481
Angola,"cashew nuts, in shell",2160
Angola,"cassava, fresh",11930569
Angola,castor oil seeds,4228
Angola,"cattle fat, unrendered",3744
Angola,cocoa beans,465
Angola,"coffee, green",7584
Angola,"edible offal of cattle, fresh, chilled or frozen",17617
Angola,"edible offal of goat, fresh, chilled or frozen",2026
Angola,"edible offal of pigs, fresh, chilled or frozen",6259
Angola,"edible offal of sheep, fresh, chilled or frozen",630
Angola,fat of pigs,7470
Angola,"game meat, fresh, chilled or frozen",9636
Angola,"goat fat, unrendered",332
Angola,green garlic,14154
Angola,"groundnuts, excluding shelled",248901
Angola,"hen eggs in shell, fresh",2550649
Angola,"kenaf, and other textile bast fibres, raw or retted",824
Angola,maize (corn),3352459
Angola,"mangoes, guavas and mangosteens",295206
Angola,"meat of cattle with the bone, fresh or chilled",110104
Angola,"meat of chickens, fresh or chilled",57631
Angola,"meat of goat, fresh or chilled",16578
Angola,"meat of pig with the bone, fresh or chilled",161524
Angola,"meat of sheep, fresh or chilled",4651
Angola,millet,25000
Angola,natural honey,23424
Angola,oil palm fruit,282224
Angola,"onions and shallots, green",612391
Angola,"other citrus fruit, n.e.c.",517555
Angola,"other fruits, n.e.c.",40442
Angola,"other vegetables, fresh n.e.c.",314055
Angola,pineapples,809041
Angola,potatoes,528284
Angola,raw hides and skins of cattle,16075
Angola,raw hides and skins of goats or kids,1105
Angola,raw hides and skins of sheep or lambs,630
Angola,raw milk of cattle,221864
Angola,rice,48340
Angola,"seed cotton, unginned",3300
Angola,sesame seed,3297
Angola,"sheep fat, unrendered",124
Angola,"sisal, raw",543
Angola,sorghum,38275
Angola,soya beans,46857
Angola,sugar cane,1291857
Angola,sunflower seed,12390
Angola,sweet potatoes,2123503
Angola,tomatoes,845387
Angola,unmanufactured tobacco,2784
Angola,wheat,37301
Antigua And Barbuda,bananas,2
Antigua And Barbuda,cabbages,8
Antigua And Barbuda,cantaloupes and other melons,32
Antigua And Barbuda,carrots and turnips,7
Antigua And Barbuda,"cassava, fresh",50
Antigua And Barbuda,"cattle fat, unrendered",2
Antigua And Barbuda,"chillies and peppers, green (capsicum spp. and pimenta spp.)",78
Antigua And Barbuda,cucumbers and gherkins,144
Antigua And Barbuda,"edible offal of cattle, fresh, chilled or frozen",9
Antigua And Barbuda,"edible offal of goat, fresh, chilled or frozen",1
Antigua And Barbuda,"edible offal of pigs, fresh, chilled or frozen",2
Antigua And Barbuda,"edible offal of sheep, fresh, chilled or frozen",1
Antigua And Barbuda,eggplants (aubergines),42
Antigua And Barbuda,fat of pigs,4
Antigua And Barbuda,"goat fat, unrendered",0
Antigua And Barbuda,green corn (maize),34
Antigua And Barbuda,"hen eggs in shell, fresh",10501
Antigua And Barbuda,lemons and limes,442
Antigua And Barbuda,lettuce and chicory,37
Antigua And Barbuda,maize (corn),50
Antigua And Barbuda,"mangoes, guavas and mangosteens",1415
Antigua And Barbuda,"meat of cattle with the bone, fresh or chilled",73
Antigua And Barbuda,"meat of chickens, fresh or chilled",6
Antigua And Barbuda,"meat of goat, fresh or chilled",5
Antigua And Barbuda,"meat of pig with the bone, fresh or chilled",50
Antigua And Barbuda,"meat of sheep, fresh or chilled",5
Antigua And Barbuda,okra,32
Antigua And Barbuda,"onions and shallots, dry (excluding dehydrated)",38
Antigua And Barbuda,"other beans, green",105
Antigua And Barbuda,"other tropical fruits, n.e.c.",6336
Antigua And Barbuda,"other vegetables, fresh n.e.c.",200
Antigua And Barbuda,pineapples,7
Antigua And Barbuda,"pumpkins, squash and gourds",197
Antigua And Barbuda,raw hides and skins of cattle,9
Antigua And Barbuda,raw hides and skins of goats or kids,1
Antigua And Barbuda,raw hides and skins of sheep or lambs,1
Antigua And Barbuda,raw milk of cattle,3102
Antigua And Barbuda,"seed cotton, unginned",107
Antigua And Barbuda,"sheep fat, unrendered",0
Antigua And Barbuda,spinach,23
Antigua And Barbuda,sugar cane,0
Antigua And Barbuda,sweet potatoes,151
Antigua And Barbuda,taro,38
Antigua And Barbuda,tomatoes,86
Antigua And Barbuda,watermelons,120
Antigua And Barbuda,yams,146
Argentina,"almonds, in shell",693
Argentina,"anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",7242
Argentina,apples,494063
Argentina,apricots,27548
Argentina,artichokes,28195
Argentina,asparagus,10829
Argentina,avocados,4123
Argentina,bananas,177082
Argentina,barley,5097340
Argentina,"beans, dry",474764
Argentina,beeswax,5212
Argentina,"broad beans and horse beans, dry",17381
Argentina,canary seed,58441
Argentina,cantaloupes and other melons,80481
Argentina,carrots and turnips,305049
Argentina,"cassava, fresh",201735
Argentina,castor oil seeds,0
