Country,Total_Recipes,Avg_Calories,Avg_CookTime,Avg_PrepTime
Argentina,12,399.27,68.2,22.8
Australia,8,291.75,41.1,18.8
Brazil,7,337.57,60.4,22.1
China,1,510.0,56.0,32.0
Ethiopia,8,391.88,37.1,16.5
France,7,392.0,68.7,26.9
Greece,6,411.67,75.0,29.2
India,1,480.0,35.0,15.0
Ireland,5,332.0,61.0,19.0
Italy,6,383.83,32.3,19.7
Jamaica,5,404.0,71.0,22.0
Japan,9,379.5,52.1,22.9
Lebanon,5,252.0,27.0,20.0
Mexico,7,459.14,73.9,31.4
Morocco,5,510.0,116.0,20.0
Nigeria,9,400.33,48.2,23.2
Peru,8,386.38,42.0,20.0
Polynesia,7,365.71,144.3,22.7
South Korea,8,401.88,45.5,16.5
Spain,7,341.67,41.6,18.1
Sweden,10,469.11,113.4,31.4
Thailand,8,401.38,39.9,16.9
United States,6,461.5,77.2,28.3
Vietnam,6,361.67,47.5,27.5
