Domain Code,Domain,Area,Element,Item,Year Code,Year,Unit,Value,Flag Description
QCL,Crops and livestock products,Afghanistan,Production,"Almonds, in shell",2024,2024,t,69315.64,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2024,2024,t,17889.49,Estimated value
QCL,Crops and livestock products,Afghanistan,Production,Apples,2024,2024,t,333837.85,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,Apricots,2024,2024,t,167698.55,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,Barley,2024,2024,t,100000,Figure from external organization
QCL,Crops and livestock products,Afghanistan,Production,"Beans, dry",2024,2024,t,55446.01,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,Cantaloupes and other melons,2024,2024,t,701220.44,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,"Cattle fat, unrendered",2024,2024,t,1506.54,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,"Edible offal of cattle, fresh, chilled or frozen",2024,2024,t,10777.57,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,"Edible offal of goat, fresh, chilled or frozen",2024,2024,t,9222.94,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,"Edible offal of sheep, fresh, chilled or frozen",2024,2024,t,17303.15,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,"Edible offals of camels and other camelids, fresh, chilled or frozen",2024,2024,t,547.38,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,Fat of camels,2024,2024,t,255.44,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,Figs,2024,2024,t,59915.72,Estimated value
QCL,Crops and livestock products,Afghanistan,Production,"Game meat, fresh, chilled or frozen",2024,2024,t,8011.9,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,"Goat fat, unrendered",2024,2024,t,1747.5,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,Grapes,2024,2024,t,1141406.97,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,"Hen eggs in shell, fresh",2024,2024,t,21967.71,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,"Hen eggs in shell, fresh",2024,2024,1000 No,439354,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,Linseed,2024,2024,t,27818.64,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,Maize (corn),2024,2024,t,260000,Figure from external organization
QCL,Crops and livestock products,Afghanistan,Production,"Meat of camels, fresh or chilled",2024,2024,t,3649.17,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,"Meat of cattle with the bone, fresh or chilled",2024,2024,t,61420.58,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,"Meat of chickens, fresh or chilled",2024,2024,t,28688.92,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,"Meat of goat, fresh or chilled",2024,2024,t,47570.93,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,"Meat of sheep, fresh or chilled",2024,2024,t,84750.13,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,Millet,2024,2024,t,1646.07,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,Mustard seed,2024,2024,t,1116.65,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,Natural honey,2024,2024,t,1467.09,Estimated value
QCL,Crops and livestock products,Afghanistan,Production,Olives,2024,2024,t,7912.03,Estimated value
QCL,Crops and livestock products,Afghanistan,Production,"Onions and shallots, dry (excluding dehydrated)",2024,2024,t,614770.81,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,Oranges,2024,2024,t,7166.1,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,Other berries and fruits of the genus vaccinium n.e.c.,2024,2024,t,32975.81,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,"Other citrus fruit, n.e.c.",2024,2024,t,16952.12,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,"Other fruits, n.e.c.",2024,2024,t,61085.41,Estimated value
QCL,Crops and livestock products,Afghanistan,Production,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",2024,2024,t,3716.4,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,Other pulses n.e.c.,2024,2024,t,44919.65,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,"Other stimulant, spice and aromatic crops, n.e.c.",2024,2024,t,17.19,Value imputed by a receiving agency
QCL,Crops and livestock products,Afghanistan,Production,Other stone fruits,2024,2024,t,50341.84,Estimated value
